"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"164",18,0,0,67,15,18,0,0,67,15,2.28453e-11,2.14446e-11,2.28453e-11,2.28453e-11,2.23133e-11,2.32870656108696
"165",16,29,26,22,7,16,29,26,22,7,2.05892e-11,1.95371e-11,2.05892e-11,2.05892e-11,2.00099e-11,2.81361101936938
"166",35,7,15,27,16,35,7,15,27,16,2.24335e-11,2.10674e-11,2.24335e-11,2.24335e-11,2.19248e-11,2.26759087971116
"167",0,72,27,0,1,0,72,27,0,1,1.61452e-11,1.45798e-11,1.61452e-11,1.61452e-11,1.4772e-11,8.50531427297278
"169",25,0,75,0,0,25,0,75,0,0,1.54414e-11,1.53659e-11,1.54414e-11,1.54414e-11,1.55494e-11,0.699418446513911
"170",44,5,18,28,5,44,5,18,28,5,2.02436e-11,1.92477e-11,2.02436e-11,2.02436e-11,1.76566e-11,12.779347546879
"171",52,0,42,0,6,52,0,42,0,6,1.89007e-11,1.81456e-11,1.89007e-11,1.89007e-11,1.75522e-11,7.13465638838774
"172",0,58,31,0,11,0,58,31,0,11,2.129e-11,1.87579e-11,2.129e-11,2.129e-11,1.61452e-11,24.1653358384218
"173",43,48,6,0,3,43,48,6,0,3,1.64096e-11,1.60743e-11,1.64096e-11,1.64096e-11,1.64141e-11,0.0274229719188668
"174",28,13,22,14,23,28,13,22,14,23,2.3093e-11,2.16052e-11,2.3093e-11,2.3093e-11,2.32178e-11,0.540423504958221
"175",65,35,0,0,0,65,35,0,0,0,1.02466e-11,1.1036e-11,1.1036e-11,1.1036e-11,1.26042e-11,14.2098586444364
"176",7,0,26,34,33,7,0,26,34,33,2.42935e-11,2.2624e-11,2.42935e-11,2.42935e-11,2.43003e-11,0.0279910264062488
"177",20,24,31,25,0,20,24,31,25,0,1.83641e-11,1.76587e-11,1.83641e-11,1.83641e-11,1.78843e-11,2.61270631286041
"178",21,38,4,21,16,21,38,4,21,16,2.22429e-11,2.08954e-11,2.22429e-11,2.22429e-11,2.14766e-11,3.44514429323514
"179",29,18,13,24,16,29,18,13,24,16,2.23552e-11,2.09921e-11,2.23552e-11,2.23552e-11,2.2315e-11,0.179823933581447
"180",0,79,21,0,0,0,79,21,0,0,1.43385e-11,1.31178e-11,1.43385e-11,1.43385e-11,1.44687e-11,0.908044774558014
"181",0,0,0,78,22,0,0,0,78,22,2.59461e-11,1.99414e-11,2.59461e-11,2.59461e-11,2.41663e-11,6.85960510442802
"182",43,0,0,57,0,43,0,0,57,0,1.97603e-11,1.8913e-11,1.97603e-11,1.97603e-11,1.96175e-11,0.722661093202026
"183",0,0,100,0,0,0,0,100,0,0,1.71272e-11,1.41339e-11,1.71272e-11,1.71272e-11,1.63765e-11,4.3830865523845
"184",17,0,37,29,17,17,0,37,29,17,2.26636e-11,2.12745e-11,2.26636e-11,2.26636e-11,2.31744e-11,2.25383434229336
"185",0,29,71,0,0,0,29,71,0,0,1.6164e-11,1.46505e-11,1.6164e-11,1.6164e-11,1.52943e-11,5.38047512991834
"187",24,76,0,0,0,24,76,0,0,0,1.11747e-11,1.17646e-11,1.17646e-11,1.17646e-11,1.17952e-11,0.260102340921087
"188",0,0,0,46,54,0,0,0,46,54,2.78199e-11,2.1414e-11,2.78199e-11,2.78199e-11,2.77868e-11,0.118979579365852
"189",0,0,24,70,6,0,0,24,70,6,2.30585e-11,1.89875e-11,2.30585e-11,2.30585e-11,2.1057e-11,8.68009627686103
"190",4,63,19,14,0,4,63,19,14,0,1.6987e-11,1.64983e-11,1.6987e-11,1.6987e-11,1.65572e-11,2.53017013009948
"191",3,32,37,0,28,3,32,37,0,28,2.33847e-11,2.1847e-11,2.33847e-11,2.33847e-11,2.42637e-11,3.75886797778033
"192",60,12,8,0,20,60,12,8,0,20,2.21727e-11,2.0824e-11,2.21727e-11,2.21727e-11,2.2599e-11,1.92263459118645
"193",1,0,0,39,60,1,0,0,39,60,2.56309e-11,2.36906e-11,2.56309e-11,2.56309e-11,2.81104e-11,9.67387021134647
"194",0,46,0,33,21,0,46,0,33,21,2.39132e-11,2.0963e-11,2.39132e-11,2.39132e-11,2.29236e-11,4.13830018567151
"195",0,53,3,18,26,0,53,3,18,26,2.42086e-11,2.11983e-11,2.42086e-11,2.42086e-11,2.42236e-11,0.0619614517155087
"196",0,0,24,49,27,0,0,24,49,27,2.54538e-11,2.0915e-11,2.54538e-11,2.54538e-11,2.42935e-11,4.55845492617999
"197",0,47,0,53,0,0,47,0,53,0,2.0413e-11,1.81119e-11,2.0413e-11,2.0413e-11,2.18749e-11,7.16161269779061
"198",43,0,0,0,57,43,0,0,0,57,2.53129e-11,2.3432e-11,2.53129e-11,2.53129e-11,2.40916e-11,4.82481264493598
"199",0,6,0,2,92,0,6,0,2,92,2.69431e-11,2.34161e-11,2.69431e-11,2.69431e-11,2.94375e-11,9.25802895732117
"200",25,19,26,16,14,25,19,26,16,14,2.18738e-11,2.05788e-11,2.18738e-11,2.18738e-11,1.44612e-11,33.8880304290978
"201",3,12,6,25,54,3,12,6,25,54,2.53859e-11,2.3499e-11,2.53859e-11,2.53859e-11,2.59667e-11,2.28788421919255
"202",33,24,15,2,26,33,24,15,2,26,2.31331e-11,2.16328e-11,2.31331e-11,2.31331e-11,2.31743e-11,0.17809977910439
"203",22,12,30,36,0,22,12,30,36,0,1.91059e-11,1.83031e-11,1.91059e-11,1.91059e-11,1.90257e-11,0.419765622137669
"204",0,25,24,0,51,0,25,24,0,51,2.58398e-11,2.2536e-11,2.58398e-11,2.58398e-11,2.50301e-11,3.13353818528007
"205",23,7,6,25,39,23,7,6,25,39,2.46104e-11,2.28739e-11,2.46104e-11,2.46104e-11,2.48383e-11,0.926031271332439
"206",4,15,51,23,7,4,15,51,23,7,2.07354e-11,1.96675e-11,2.07354e-11,2.07354e-11,2.03269e-11,1.97006086210058
"207",19,11,33,30,7,19,11,33,30,7,2.09378e-11,1.98368e-11,2.09378e-11,2.09378e-11,2.18756e-11,4.47898059968095
"208",40,36,14,10,0,40,36,14,10,0,1.60803e-11,1.57643e-11,1.60803e-11,1.60803e-11,1.31348e-11,18.3174443262874
"209",4,16,29,28,23,4,16,29,28,23,2.3345e-11,2.18512e-11,2.3345e-11,2.3345e-11,2.43204e-11,4.17819661597774
"211",23,24,19,34,0,23,24,19,34,0,1.89022e-11,1.8114e-11,1.89022e-11,1.89022e-11,1.90561e-11,0.814190940737047
