"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"130",54,46,0,0,0,54,46,0,0,0,1.76309e-12,1.76309e-12,1.7692e-12,0.34655065821938
"131",0,66,0,0,34,0,66,0,0,34,1.26106e-12,1.26106e-12,1.28425e-12,1.83892915483799
"132",43,6,12,39,0,43,6,12,39,0,1.90796e-12,1.90796e-12,1.94411e-12,1.89469380909453
"133",27,21,15,0,37,27,21,15,0,37,2.06914e-12,2.06914e-12,2.03599e-12,1.60211488831107
"135",0,88,0,0,12,0,88,0,0,12,1.16346e-12,1.16346e-12,1.19406e-12,2.63008612242794
"137",18,41,33,0,8,18,41,33,0,8,1.93775e-12,1.93775e-12,1.81168e-12,6.50599922590633
"138",19,14,16,41,10,19,14,16,41,10,1.98637e-12,1.98637e-12,2.00718e-12,1.04763966431227
"139",37,7,16,2,38,37,7,16,2,38,2.07254e-12,2.07254e-12,2.05897e-12,0.654752139886317
"140",0,0,40,60,0,0,0,40,60,0,1.74506e-12,1.74506e-12,1.73654e-12,0.48823536153485
"141",6,0,31,0,63,6,0,31,0,63,2.11793e-12,2.11793e-12,2.09903e-12,0.892380768014045
"142",0,39,27,34,0,0,39,27,34,0,1.10344e-12,1.10344e-12,1.09661e-12,0.618973392300448
"144",30,8,27,35,0,30,8,27,35,0,1.90477e-12,1.90477e-12,1.90556e-12,0.0414748237319795
"145",0,18,0,0,82,0,18,0,0,82,1.33612e-12,1.33612e-12,1.34048e-12,0.326317995389624
"146",23,7,27,0,43,23,7,27,0,43,2.08405e-12,2.08405e-12,2.07212e-12,0.572443079580642
"147",10,0,18,36,36,10,0,18,36,36,2.07733e-12,2.07733e-12,2.06984e-12,0.360558986776294
"148",0,32,0,68,0,0,32,0,68,0,1.13225e-12,1.13225e-12,1.13712e-12,0.43011702362552
"150",0,0,53,0,47,0,0,53,0,47,2.10026e-12,2.10026e-12,2.04873e-12,2.45350575643017
"151",0,72,28,0,0,0,72,28,0,0,1.00185e-12,1.00185e-12,1.03663e-12,3.47157758147427
"153",0,3,31,25,41,0,3,31,25,41,1.2877e-12,1.2877e-12,1.27779e-12,0.769589190028741
"154",13,30,31,21,5,13,30,31,21,5,1.93818e-12,1.93818e-12,1.95462e-12,0.848218431724601
"156",2,48,2,34,14,2,48,2,34,14,2.0026e-12,2.0026e-12,1.23272e-12,38.4440227703985
"157",0,39,32,29,0,0,39,32,29,0,1.09661e-12,1.09661e-12,1.10344e-12,0.622828535213071
"158",20,13,7,34,26,20,13,7,34,26,2.04944e-12,2.04944e-12,2.03651e-12,0.630904051838554
"159",47,44,1,8,0,47,44,1,8,0,1.83463e-12,1.83463e-12,1.85371e-12,1.03999171495073
"160",20,3,29,48,0,20,3,29,48,0,1.91901e-12,1.91901e-12,1.96108e-12,2.19227622576224
"161",29,22,0,27,22,29,22,0,27,22,2.03293e-12,2.03293e-12,2.03651e-12,0.176100505182197
"162",34,24,0,14,28,34,24,0,14,28,2.0481e-12,2.0481e-12,2.06257e-12,0.706508471266054
"163",28,13,22,14,23,28,13,22,14,23,2.03168e-12,2.03168e-12,2.02359e-12,0.398192628760441
"164",18,0,0,67,15,18,0,0,67,15,2.01793e-12,2.01793e-12,1.99328e-12,1.22154881487464
"165",16,29,26,22,7,16,29,26,22,7,1.95462e-12,1.95462e-12,1.93818e-12,0.841084200509556
"166",35,7,15,27,16,35,7,15,27,16,2.0089e-12,2.0089e-12,2.03559e-12,1.32858778435958
"167",0,72,27,0,1,0,72,27,0,1,1.03663e-12,1.03663e-12,1.00185e-12,3.35510259205309
