"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"122",0,52,41,7,0,0,52,41,7,0,2.88497e-12,2.88497e-12,2.77381e-12,3.85307299555975
"123",29,34,0,32,5,29,34,0,32,5,4.12285e-12,4.12285e-12,4.27264e-12,3.63316637762712
"124",90,0,0,0,10,90,0,0,0,10,4.02922e-12,4.02922e-12,4.14564e-12,2.88939298425006
"125",20,32,30,18,0,20,32,30,18,0,3.78848e-12,3.78848e-12,4.15592e-12,9.69887659430697
"128",27,16,10,20,27,27,16,10,20,27,4.5516e-12,4.5516e-12,4.65367e-12,2.24250812900959
"129",0,2,47,34,17,0,2,47,34,17,3.83163e-12,3.83163e-12,3.2893e-12,14.1540284422034
"131",0,66,0,0,34,0,66,0,0,34,3.99628e-12,3.99628e-12,4.11203e-12,2.89644369263415
"132",43,6,12,39,0,43,6,12,39,0,3.97145e-12,3.97145e-12,3.99709e-12,0.645608027294831
"133",27,21,15,0,37,27,21,15,0,37,4.61785e-12,4.61785e-12,4.6156e-12,0.048723973277609
"134",54,46,0,0,0,54,46,0,0,0,2.87319e-12,2.87319e-12,2.93744e-12,2.23619043641388
"135",0,88,0,0,12,0,88,0,0,12,3.44477e-12,3.44477e-12,3.63088e-12,5.40268290771226
"136",27,19,17,37,0,27,19,17,37,0,3.96511e-12,3.96511e-12,3.96168e-12,0.0865045358136363
"137",18,41,33,0,8,18,41,33,0,8,4.01984e-12,4.01984e-12,3.36992e-12,16.1678076739373
"139",37,7,16,2,38,37,7,16,2,38,4.63361e-12,4.63361e-12,4.62976e-12,0.0830885637764123
"140",0,0,40,60,0,0,0,40,60,0,3.83547e-12,3.83547e-12,3.8161e-12,0.505022852479597
"141",6,0,31,0,63,6,0,31,0,63,4.81228e-12,4.81228e-12,4.74698e-12,1.35694514866135
"142",0,39,27,34,0,0,39,27,34,0,3.23801e-12,3.23801e-12,3.18581e-12,1.61210125972433
"143",16,28,0,0,56,16,28,0,0,56,4.76983e-12,4.76983e-12,4.71863e-12,1.07341351788218
"144",30,8,27,35,0,30,8,27,35,0,3.95829e-12,3.95829e-12,3.96168e-12,0.0856430428290977
"145",0,18,0,0,82,0,18,0,0,82,4.36833e-12,4.36833e-12,4.38878e-12,0.468142287785045
"146",23,7,27,0,43,23,7,27,0,43,4.68042e-12,4.68042e-12,4.63207e-12,1.03302695057282
"147",10,0,18,36,36,10,0,18,36,36,4.67633e-12,4.67633e-12,4.64758e-12,0.614798356831092
"148",0,32,0,68,0,0,32,0,68,0,3.45327e-12,3.45327e-12,3.49095e-12,1.09113970236907
"150",0,72,28,0,0,0,72,28,0,0,2.5849e-12,2.5849e-12,2.74951e-12,6.36813803241905
"151",0,0,53,0,47,0,0,53,0,47,4.5766e-12,4.5766e-12,4.46798e-12,2.37337761657125
"152",19,14,16,41,10,19,14,16,41,10,4.31443e-12,4.31443e-12,4.34062e-12,0.60703267870843
"153",0,3,31,25,41,0,3,31,25,41,4.15231e-12,4.15231e-12,4.10585e-12,1.11889526552689
"154",13,30,31,21,5,13,30,31,21,5,4.08087e-12,4.08087e-12,4.15592e-12,1.83906862997352
"156",2,48,2,34,14,2,48,2,34,14,4.37365e-12,4.37365e-12,3.89441e-12,10.9574382952454
"157",0,39,32,29,0,0,39,32,29,0,3.18581e-12,3.18581e-12,3.23801e-12,1.63851579347167
"158",20,13,7,34,26,20,13,7,34,26,4.56632e-12,4.56632e-12,4.64206e-12,1.65866605932128
"159",47,44,1,8,0,47,44,1,8,0,3.46078e-12,3.46078e-12,3.60411e-12,4.14155190448395
"160",20,3,29,48,0,20,3,29,48,0,4.04171e-12,4.04171e-12,4.21813e-12,4.36498412800523
"161",29,22,0,27,22,29,22,0,27,22,4.49365e-12,4.49365e-12,4.5095e-12,0.352719949261737
"162",34,24,0,14,28,34,24,0,14,28,4.54363e-12,4.54363e-12,4.60831e-12,1.42353140550617
"163",0,0,0,86,14,0,0,0,86,14,4.67462e-12,4.67462e-12,4.65318e-12,0.458646906058668
"164",18,0,0,67,15,18,0,0,67,15,4.45427e-12,4.45427e-12,4.38225e-12,1.61687549250494
"165",16,29,26,22,7,16,29,26,22,7,4.15592e-12,4.15592e-12,4.08087e-12,1.80585766809757
"166",35,7,15,27,16,35,7,15,27,16,4.39599e-12,4.39599e-12,4.33056e-12,1.48840192994071
"167",0,72,27,0,1,0,72,27,0,1,2.74951e-12,2.74951e-12,2.5849e-12,5.9868849358613
"169",25,0,75,0,0,25,0,75,0,0,3.49919e-12,3.49919e-12,3.51298e-12,0.394091203964342
"170",44,5,18,28,5,44,5,18,28,5,4.11326e-12,4.11326e-12,3.79162e-12,7.81958835570811
"171",52,0,42,0,6,52,0,42,0,6,3.92837e-12,3.92837e-12,3.77411e-12,3.9268195205645
"172",0,58,31,0,11,0,58,31,0,11,3.45987e-12,3.45987e-12,2.74951e-12,20.5314072494053
"173",43,48,6,0,3,43,48,6,0,3,3.60964e-12,3.60964e-12,3.61022e-12,0.0160680843519057
"174",28,13,22,14,23,28,13,22,14,23,4.48076e-12,4.48076e-12,4.49003e-12,0.206884546371588
