"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"153",0,3,31,25,41,0,3,31,25,41,4.15231e-12,4.15231e-12,4.58725499142568e-12,10.4747716674738
"154",13,30,31,21,5,13,30,31,21,5,4.08087e-12,4.08087e-12,3.67438947585449e-12,9.96063398602537
"156",2,48,2,34,14,2,48,2,34,14,4.37365e-12,4.37365e-12,3.8179412535526e-12,12.7058348621267
"157",0,39,32,29,0,0,39,32,29,0,3.18581e-12,3.18581e-12,3.49662066836814e-12,9.75609557281008
"158",20,13,7,34,26,20,13,7,34,26,4.56632e-12,4.56632e-12,4.37720376924216e-12,4.14154572517558
"159",47,44,1,8,0,47,44,1,8,0,3.46078e-12,3.46078e-12,3.59220566373836e-12,3.79757348743219
"160",20,3,29,48,0,20,3,29,48,0,4.04171e-12,4.04171e-12,3.93875889771418e-12,2.5472164575346
"161",29,22,0,27,22,29,22,0,27,22,4.49365e-12,4.49365e-12,4.24103752687828e-12,5.62154313579661
"162",34,24,0,14,28,34,24,0,14,28,4.54363e-12,4.54363e-12,4.301349221066e-12,5.33231752880411
"163",0,0,0,86,14,0,0,0,86,14,4.67462e-12,4.67462e-12,4.43527308897927e-12,5.12013620402796
"164",18,0,0,67,15,18,0,0,67,15,4.45427e-12,4.45427e-12,4.42403448003735e-12,0.678798545275572
"165",16,29,26,22,7,16,29,26,22,7,4.15592e-12,4.15592e-12,3.75007103882491e-12,9.76556240676159
"166",35,7,15,27,16,35,7,15,27,16,4.39599e-12,4.39599e-12,4.21662805841494e-12,4.08012624198552
"167",0,72,27,0,1,0,72,27,0,1,2.74951e-12,2.74951e-12,3.1365301988678e-12,14.0759698589129
"169",25,0,75,0,0,25,0,75,0,0,3.49919e-12,3.49919e-12,3.63088295502122e-12,3.76352684539061
"170",44,5,18,28,5,44,5,18,28,5,4.11326e-12,4.11326e-12,4.03625720930894e-12,1.87206232261178
"171",52,0,42,0,6,52,0,42,0,6,3.92837e-12,3.92837e-12,3.92599540066001e-12,0.0604474461413984
"172",0,58,31,0,11,0,58,31,0,11,3.45987e-12,3.45987e-12,3.43656887103954e-12,0.673468337263017
"173",43,48,6,0,3,43,48,6,0,3,3.60964e-12,3.60964e-12,3.55778745962797e-12,1.43650171130734
