"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"178",21,38,4,21,16,21,38,4,21,16,2.00498e-12,2.00498e-12,1.718416352797e-12,14.2925938015839
"179",29,18,13,24,16,29,18,13,24,16,2.00728e-12,2.00728e-12,1.86569527276901e-12,7.05356139806046
"180",0,79,21,0,0,0,79,21,0,0,9.9555e-13,9.9555e-13,1.28175530847775e-12,28.748461501457
"181",0,0,24,49,27,0,0,24,49,27,2.03279e-12,2.03279e-12,1.76030650252752e-12,13.404409578583
"182",43,0,0,57,0,43,0,0,57,0,1.92414e-12,1.92414e-12,1.97351750372179e-12,2.56621159176513
"184",17,0,37,29,17,17,0,37,29,17,2.01515e-12,2.01515e-12,1.84165469817942e-12,8.60954776669619
"185",0,29,71,0,0,0,29,71,0,0,1.02205e-12,1.02205e-12,1.47798711694507e-12,44.6100598742794
"187",24,76,0,0,0,24,76,0,0,0,1.76791e-12,1.76791e-12,1.49724777784837e-12,15.3097285581068
"188",19,11,33,30,7,19,11,33,30,7,1.96183e-12,1.96183e-12,1.75866786284562e-12,10.3557462753847
"189",0,0,24,70,6,0,0,24,70,6,1.85507e-12,1.85507e-12,1.64658655636209e-12,11.2385755598394
"190",4,63,19,14,0,4,63,19,14,0,1.86403e-12,1.86403e-12,1.38260929227521e-12,25.826875518355
"191",3,32,37,0,28,3,32,37,0,28,2.04293e-12,2.04293e-12,1.65151804665373e-12,19.1593423830612
"192",60,12,8,0,20,60,12,8,0,20,2.00934e-12,2.00934e-12,2.16817377548675e-12,7.90477348217551
"193",1,0,0,39,60,1,0,0,39,60,2.11803e-12,2.11803e-12,1.95424428894596e-12,7.73292687327572
"194",0,46,0,33,21,0,46,0,33,21,1.23272e-12,1.23272e-12,1.54082842158762e-12,24.9941934573638
"195",0,53,3,18,26,0,53,3,18,26,1.24438e-12,1.24438e-12,1.53749878062433e-12,23.5554075623469
"197",0,47,0,53,0,0,47,0,53,0,1.1216e-12,1.1216e-12,1.42289050270921e-12,26.86256265239
"198",43,0,0,0,57,43,0,0,0,57,2.10919e-12,2.10919e-12,2.28218592902797e-12,8.20200783371663
"199",0,6,0,2,92,0,6,0,2,92,1.34048e-12,1.34048e-12,2.09402905285645e-12,56.2148672756366
"200",25,19,26,16,14,25,19,26,16,14,1.99304e-12,1.99304e-12,1.8140537066229e-12,8.98056704216178
"201",3,12,6,25,54,3,12,6,25,54,2.10937e-12,2.10937e-12,1.88576705758963e-12,10.6004609153617
"202",33,24,15,2,26,33,24,15,2,26,2.03599e-12,2.03599e-12,1.92673286602335e-12,5.36629030479769
"203",22,12,30,36,0,22,12,30,36,0,1.90635e-12,1.90635e-12,1.74200806151866e-12,8.62076420811205
"204",0,25,24,0,51,0,25,24,0,51,1.30109e-12,1.30109e-12,1.78482283746362e-12,37.1790450671069
"205",23,7,6,25,39,23,7,6,25,39,2.08176e-12,2.08176e-12,1.9895271246921e-12,4.43052394646379
"206",4,15,51,23,7,4,15,51,23,7,1.95687e-12,1.95687e-12,1.61359186182372e-12,17.5422045499335
"208",40,36,14,10,0,40,36,14,10,0,1.84922e-12,1.84922e-12,1.79297896396691e-12,3.04133829577288
"209",4,16,29,28,23,4,16,29,28,23,2.03802e-12,2.03802e-12,1.70247106157759e-12,16.4644575824777
"211",23,24,19,34,0,23,24,19,34,0,1.9026e-12,1.9026e-12,1.70281402776851e-12,10.5006818160142
"212",19,68,0,0,13,19,68,0,0,13,1.97075e-12,1.97075e-12,1.56041493733589e-12,20.8212641209746
"213",18,0,5,19,58,18,0,5,19,58,2.11426e-12,2.11426e-12,2.08126106120039e-12,1.56077960135491
"215",46,13,17,24,0,46,13,17,24,0,1.88588e-12,1.88588e-12,1.93828194768833e-12,2.77864698116177
"216",10,40,0,21,29,10,40,0,21,29,2.05418e-12,2.05418e-12,1.69140751037542e-12,17.6602094083569
"218",21,6,15,0,58,21,6,15,0,58,2.11106e-12,2.11106e-12,2.07760466996318e-12,1.58476452762236
"219",1,12,27,32,28,1,12,27,32,28,2.05539e-12,2.05539e-12,1.72242099269825e-12,16.199796987518
"220",30,1,0,59,10,30,1,0,59,10,1.99328e-12,1.99328e-12,1.91691770759231e-12,3.83098673581699
"222",13,50,2,0,35,13,50,2,0,35,2.06313e-12,2.06313e-12,1.70571733382545e-12,17.3238073303449
"223",0,29,33,0,38,0,29,33,0,38,1.27338e-12,1.27338e-12,1.69491285580712e-12,33.1034613239658
"224",0,16,17,24,43,0,16,17,24,43,1.29153e-12,1.29153e-12,1.78151606343231e-12,37.9384190403871
"225",0,33,19,48,0,0,33,19,48,0,1.11887e-12,1.11887e-12,1.47636872636191e-12,31.9517661892719
"227",5,18,46,26,5,5,18,46,26,5,1.94424e-12,1.94424e-12,1.59976909216521e-12,17.717509558223
